id,name,prefecture,city,lat,lon,period,official_url,source_url,checked_on,notes,month,next_date
12,天神祭,大阪府,大阪市,34.695530,135.512634,例年7月24日（宵宮）・25日（本宮）,https://osakatemmangu.or.jp/,https://osakatemmangu.or.jp/saijireki/tjm,2026-09-22,大川を舞台にした船渡御と奉納花火が「火と水の祭典」と称される,7,2027-07-24
13,岸和田だんじり祭,大阪府,岸和田市,34.458885,135.371140,例年9月第3土曜日・日曜日（旧市・春木地区）、10月第2土曜日・日曜日（その他地区）,https://www.city.kishiwada.lg.jp/site/danjiri/,https://www.city.kishiwada.lg.jp/site/danjiri/,2026-09-22,曳行中に猛スピードで方向転換する「やりまわし」が最大の見どころ,9;10,2026-10-10
14,西条酒まつり,広島県,東広島市,34.430492,132.745712,例年10月第2土曜日・日曜日,https://sakematsuri.com/,https://sakematsuri.com/,2026-09-22,酒どころ西条の酒蔵が並ぶ会場で全国の日本酒を試飲できる,10,2026-10-10
15,阿波おどり,徳島県,徳島市,34.070232,134.545670,例年8月11日〜15日,https://www.city.tokushima.tokushima.jp/kankou/awaodori/index.html,https://www.city.tokushima.tokushima.jp/kankou/awaodori/index.html,2026-09-22,「踊る阿呆に見る阿呆」の掛け声とともに連が街を練り歩く。座標は演舞場が集まる新町橋周辺（要確認）,8,2027-08-11
16,よさこい祭り,高知県,高知市,33.560596,133.539780,例年8月9日〜12日,https://welcome-kochi.jp/yosakoi/,https://welcome-kochi.jp/yosakoi/schedule.html,2026-09-22,鳴子を手にしたチームが市内の競演場・演舞場を踊り歩く。座標は中央公園（帯屋町）周辺,8,2027-08-09
17,博多祇園山笠,福岡県,福岡市,33.593357,130.411011,例年7月1日〜15日,https://www.hakatayamakasa.com/,https://www.hakatayamakasa.com/162358.html,2026-09-22,最終日15日早朝の追い山笠、櫛田入りと博多祝い唄が最大の見どころ,7,2027-07-01
18,長崎くんち,長崎県,長崎市,32.753712,129.882538,例年10月7日〜9日,https://nagasaki-kunchi.com/,https://nagasaki-kunchi.com/about/,2026-09-22,諏訪神社の秋季大祭。龍踊りなど国際色豊かな奉納踊が見どころ,10,2026-10-07
19,唐津くんち,佐賀県,唐津市,33.451351,129.969437,例年11月2日〜4日,https://www.karatsu-jinja.org/kunti,https://www.karatsu-jinja.org/kunti,2026-09-22,提灯に照らされた14台の曳山が城下町を巡行する宵曳山が幻想的,11,2026-11-02
20,那覇大綱挽,沖縄県,那覇市,26.213820,127.679459,例年10月上旬〜中旬（体育の日前後）,https://www.naha-otsunahiki.org/,https://www.naha-otsunahiki.org/,2026-09-22,世界最大級と言われる大綱を国道58号久茂地交差点で引き合う,10,2026-10-10
21,高山祭（秋・八幡祭）,岐阜県,高山市,36.147839,137.260223,例年10月9日〜10日,https://www.hidatakayama.or.jp/hidatakayama/maturi_autumn/,https://www.hidatakayama.or.jp/hidatakayama/maturi_autumn/,2026-09-22,桜山八幡宮の例大祭。11台の屋台とからくり人形奉納、宵祭の提灯屋台が見どころ,10,2026-10-09
22,大曲の花火（全国花火競技大会）,秋田県,大仙市,39.458305,140.469574,例年8月最終土曜日,https://www.omagari-hanabi.com/,https://www.omagari-hanabi.com/overview/summer,2026-09-22,昼花火の部・10号玉の部・創造花火の部を競う競技大会。座標は会場最寄りの代表地番（要確認）。次回日程は推定,8,2027-08-28
23,野沢温泉の道祖神祭り,長野県,野沢温泉村,36.9226,138.4452,例年1月15日（夜の火付けが本番）,https://nozawakanko.jp/event/event-12132/,https://nozawakanko.jp/event/event-12132/,2026-09-22,会場に入れるのは村民と村内の宿泊者のみ。座標は村中心部の代表値（要確認）,1,2027-01-15
24,横手かまくら,秋田県,横手市,39.3113,140.5533,例年2月第2金曜日・土曜日（2026年から変更）,https://www.yokotekamakura.com/,https://www.city.yokote.lg.jp/kanko/1004035/1004590.html,2026-09-22,2026年から日程が2月第2金・土に変更,2,2027-02-12
25,長崎ランタンフェスティバル,長崎県,長崎市,32.7418,129.8779,例年、旧正月（春節）に合わせて1月下旬〜2月の約2週間,https://www.at-nagasaki.jp/lantern-festival,https://www.at-nagasaki.jp/lantern-festival/news/1283,2026-09-22,2027年は2月5日〜21日の17日間,2,2027-02-05
26,東大寺二月堂 修二会（お水取り）,奈良県,奈良市,34.6893,135.8436,例年3月1日〜14日（お松明は毎夜、12日は籠松明）,https://www.todaiji.or.jp/,https://narashikanko.or.jp/event/detail_10278.html,2026-09-22,,3,2027-03-01
27,長浜曳山まつり,滋賀県,長浜市,35.3876,136.2744,例年4月9日〜17日（子ども狂言の奉納は14日・15日）,https://nagahama-hikiyama.or.jp/,https://nagahama-hikiyama.or.jp/matsuri-event/,2026-09-22,,4,2027-04-09
28,くらやみ祭,東京都,府中市,35.6689,139.479,例年5月3日〜6日（神輿渡御「おいで」は5日夜）,https://www.ookunitamajinja.or.jp/matsuri/5-kurayami.php,https://www.city.fuchu.tokyo.jp/kanko/event/kurayamimatsuri.html,2026-09-22,,5,2027-05-03
29,神田祭,東京都,千代田区,35.702,139.7679,本祭は奇数年の5月中旬（神幸祭は土曜日）,https://kandamatsuri.com/,https://kandamatsuri.com/shinkosai/,2026-09-22,次回日程は推定（2025年は神幸祭5月10日）。要確認,5,2027-05-08
30,山王祭,東京都,千代田区,35.6745,139.7394,例年6月7日〜17日（神幸祭の行列は偶数年）,https://www.tenkamatsuri.jp/,https://www.tenkamatsuri.jp/about/,2026-09-22,2027年は神幸祭のない年（次の神幸祭は2028年）,6,2027-06-07
31,盛岡さんさ踊り,岩手県,盛岡市,39.7019,141.148,例年8月1日〜4日,https://sansaodori.jp/,https://sansaodori.jp/info/,2026-09-22,,8,2027-08-01
32,山形花笠まつり,山形県,山形市,38.2552,140.3398,例年8月5日〜7日,https://www.hanagasa.jp/,https://www.hanagasa.jp/about/,2026-09-22,,8,2027-08-05
33,五所川原立佞武多,青森県,五所川原市,40.8074,140.443,例年8月4日〜8日,https://tachineputa-official.jp/,https://aomori-tourism.com/event/detail_86.html,2026-09-22,,8,2027-08-04
34,長岡まつり大花火大会,新潟県,長岡市,37.4494,138.8409,例年8月2日・3日,,https://gatachira.com/local/event/10213776/,2026-09-22,公式サイトURL要確認,8,2027-08-02
35,京都五山送り火,京都府,京都市,35.0232,135.8017,例年8月16日（大文字は20時点火）,https://ja.kyoto.travel/event/major/okuribi/,https://ja.kyoto.travel/event/major/okuribi/,2026-09-22,座標は大文字山,8,2027-08-16
36,さっぽろ大通ビアガーデン,北海道,札幌市,43.0594,141.3478,例年7月下旬〜8月中旬の約4週間（2026年は7月23日〜8月18日）,,https://www.uhb.jp/news/single.html?id=61590,2026-09-22,次回日程は要確認。公式サイトURL要確認,7;8,
37,沖縄全島エイサーまつり,沖縄県,沖縄市,26.33,127.811,例年、旧盆明けの週末の3日間（2026年は9月4日〜6日）,https://www.zentoeisa.com/,https://www.kozaweb.jp/events/show/24890,2026-09-22,次回日程は要確認,8;9,
38,新居浜太鼓祭り,愛媛県,新居浜市,33.96,133.283,例年10月16日〜18日（地区により日程が異なる）,https://www.city.niihama.lg.jp/soshiki/kankou/taikomatsuri.html,https://www.city.niihama.lg.jp/soshiki/kankou/taikomatsuri.html,2026-09-22,座標は市中心部の代表値（要確認）,10,2026-10-16
39,灘のけんか祭り,兵庫県,姫路市,34.777,134.711,例年10月14日（宵宮）・15日（本宮）,https://www.nadamatsuri.jp/,https://www.nadamatsuri.jp/schedule/,2026-09-22,,10,2026-10-14
40,深川八幡祭り,東京都,江東区,35.6718,139.7995,例年8月15日前後（神輿連合渡御のある本祭は3年に1度、次は2029年）,,https://centraltokyo-tourism.com/ja-jp/news/blog_20260801,2026-09-22,次回日程は推定（陰祭）。公式サイトURL要確認,8,2027-08-15
41,東京高円寺阿波おどり,東京都,杉並区,35.7053,139.6496,例年8月最終土曜日・日曜日,https://www.koenji-awaodori.com/,https://koenji-awaodori.com/about/about01.html,2026-09-22,,8,2027-08-28
